;70;71;7;14;23;72;2;13;39;73;20;25;54;11;38;57;74;59;68;63;9;75;6;4;76;28;18;77;22;78;24;65;29;58;79;3;5;43;64;50;21;19;10;17;15;80;81;31;32;56;34;36;41;35;42;37;8
Это Финал - SerGGGG ft. Мышь Band (Сережа Грякалов);0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;0,3;;;;;;;;;;;;;0,2;;;;;;;;;;;;;
Палач (демо версия) - Павел Желибо (Павел Желибо);0,3;;0,2;0,1;;;;0,1;;;;;;0,3;;;;;;0,1;;;;0,3;;;;;;;;;;;0,1;;;;;0,4;;;;;;;;;;;;;;;;;
На дороге иной - Сол на Марсе (SoM) (Cол Иодим);0,2;;;;;;;;;;0,1;;;;0,3;;;;;;;;;;0,4;;;;0,2;;0,2;;;;0,4;;0,4;0,1;0,1;;;;0,1;;0,4;0,2;;;0,4;;;0,3;;;;;
I Won't Say Goodbye - Yury Petukhov (Юрий Петухов);0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Сколько лет — сколько зим…"" - MetaZvuk (Neldy Music)";;0,4;0,3;0,2;;;;0,4;;;;;;;;;;0,1;;;0,3;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;
 Сашка-гармонист - ЛОВiNicE (Оксана Лащилина);;0,3;;;;;;;;;;;0,1;;;0,1;;;;;;;;;;;0,4;0,1;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;
Бабки любят бабки - Satir-X (Славомир feat. Мирослава) (Дмитрий Выхин);;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;
Мы-снова чемпионы (версия 2.0) - DJ NEOPHRON feat BAD SONGS PROJECT (Dj Neophron);;0,1;;0,4;;;;;;;;;0,1;;;0,2;;;;;;;0,2;;;;0,1;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;
Птицы в небе - Алмавем (Алексей Алмавем);;;0,4;;;;;;;;;;;;;;;0,3;;;;0,4;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Алиса, посоветуй! - 
Neferet & PASE feat. SunoAI (Анна Чулкова)";;;0,1;;;;;;;;;;;;0,2;;0,3;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;
Интернет - НейроДюха (Андрей Салов);;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сделай это со мной - hito (Hito Shniperson);;;;;0,4;;;;;;;0,1;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;
Гречка - наше всё - PoulSoul (Павел Гупало);;;;;0,3;;0,1;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enough - FearTheChipper (Максим Яшин);;;;;0,2;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;0,3;;;;;;;0,3;;;;;;;;;;;;;;
Лонгин Сотник - Сова Сумрачная AI (Сова Сумрачная);;;;;0,1;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Неоновые Сны - ТехноСфера Вечности (Кирилл Генкин);;;;;;0,4;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лети - Руденко Т.В. + Рифф (Татьяна Руденко);;;;;;0,3;;;;;;;;;0,4;0,4;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;
Сердце моё в огне - iRicha (Ирина Воскобойникова);;;;;;0,2;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Румба Шредингера - Celsa (Yulisse Cobre);;;;;;0,1;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цвет ночи - NadinKa (Надежда Капустина);;;;;;;0,4;0,3;;;0,4;;;;;;;;;;;;;;;;0,2;;;;;0,4;;;;;;;;;;;;;;;;;;;;0,1;;;;;
Чезабретта - Наташка Дьякова & SAI (Наталья Дьякова);;;;;;;0,3;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;
Notice.me - Kazladur (Kazladur Brink);;;;;;;0,2;;0,3;;;0,4;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;0,2;;;;;;;;;;;;;;0,4;;
Солнце скрылось - Sulimov project (Александр Сулимов);;;;;;;;0,2;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;
Индия - Дмитрий Люсков и Suno v 4.5 (Дмитрий Люсков);;;;;;;;;0,2;;;;;;;;;;;;;;;;0,2;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ураган - Ол`ka (Ольга Гавришина);;;;;;;;;0,1;;;;;;;;;;;;0,1;;;0,4;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;
Актриса спускается в партер - AI Илья Недобитый (Константин Леонов-Шуанский);;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;
Азовское море зовёт - awaxino (Сергей Миньков);;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Инклюз - ОПМ (Юн-Софус Кумле);;;;;;;;;;;0,3;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Если ты уйдешь - Елена Слободчикова (Елена Слободчикова);;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;
Плюшевые поэты - Отряд Котовскага (Константин Бондаренко);;;;;;;;;;;;0,3;;0,2;;;;;0,2;;;;;0,2;;;;0,2;;;;0,3;;;;;0,1;;;;;;;0,3;;;;;;0,3;;;;0,1;;;0,3
Свет дозволенных Рифм - Scary_Man (Артур Колесник);;;;;;;;;;;;0,2;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;0,1
Слёзы сбереги - MartyMacflay (Marty Macflay);;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Июньский день - Gor Nagat (Михаил Жаров);;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
На дорогах лесных - Ze Game (Ze Gamer);;;;;;;;;;;;;;0,4;0,1;;;0,4;;;;;;;;;;0,3;;;;;;;;;;;;0,2;;;;;0,3;;;0,2;;;;;;0,3;;;
Нарисованный мальчишка - Posternak (Николай Постернак);;;;;;;;;;;;;;0,1;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;
Distortion of Memory - Cycle of Desire (Яан Лодди);;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;0,1;;;;;;;0,2
40 лет - Ai Kine$hma (Денис Смирнов);;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Devil made me do it - sky ivi music (Ивита Полонская);;;;;;;;;;;;;;;;;;;;0,3;;0,3;;;;0,3;;0,4;;;;;0,2;;;;;;0,3;;;;;0,4;;;;;;;;;0,2;;;;
Чужое Солнце (2025) - Turbin (Алексей Леонтьев);;;;;;;;;;;;;;;;;;;0,1;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;0,1;0,3;
Иди - The NeuroSong (Руслан Назарович);;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
be-the-light - Sky Vashuk (Sky Vashuk);;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hushwires - Rheanomalia (Sashka Rheanomalia);;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;0,4
Гром неба - Коловрат (Коловрат Коло);;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;0,1;
После жизни - Даркарт (Илья Дорожкин);;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;0,2;0,1;;;;0,3;;;;;;;;;;0,4;;;;;;;0,4;;;
Echoes in the Hollow - Kate's world (seductivepiano669) (Екатерина Евстратова);;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;0,3;;;;0,3;;;;;0,2;0,3;;;;;;;;;;;;;;;;;
В темноте - ZHUCHOK (Амалия Жучок);;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;
Эмодзи - Sona (Михаил Дмитриев);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;0,3;;;0,2;;;;;;;;;;;;;;;;;;;
Вампир - Lisaviel (Юлия Журженко);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;0,1;;;;;;0,3;;;;;;;;;;
Миры Хэмингуэя - N-Morson, В.Востриков (Валерий Востриков);;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Разговор с собой (feat. SUNO) - StonedMilkBye (Андрей Воронин);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;0,1;;;;;;;;;;;
Echo - Папа Сэм (Папа Сэм);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;0,1;;;;
Hold me tight (kpop) - Mane x Luna (Дима Cавченко);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;0,3;;;;
Toronto Fader - НейроДрейк (Iva Muzhskoi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;0,2;;;;;;;;;0,1;;;;;;;;;;;;
Возможно - Сергей Чайка (Sergey Chayka);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;0,2;0,1;;;;;0,2;
Дебил, но любил - N-Morson (Бред Питт);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;0,4;;;;;;;;;;;;;;;;;;
Serpent's Gift - Soulles Machine (Евгений Александрович);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;0,4;;0,2;;;;;;;;;0,4;;;;;
ЭХ, МАРС, ТВОЮ МАТЬ! - Арон Авесин & SUNO AI (Арон Авесин);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;
Упс! - Dj Zem (Станислав Земсков);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;
Relic - Lbz (Андрей Лабазов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;
Упала ночь на землю - Granny dances (+Suno AI) (Granny Dances);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;
Качает вагон - SK-AI projecT (Skart Ai Project);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;0,4;;;;;;;;;
День Х - b'n'd (Константин Бондаренко);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;
Это вирус - ИNVGEN (Ai Sound Architect Digital Composer);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;0,4;;;;;;
Если бы - Tvoy toy (Евгений Абрамов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;
Тут у моря - Михаил Зиновьев (Михаил Зиновьев);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;0,4;;;;;;;
Жара - Владимир Морозов (Владимир Морозов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;
Транс Вальс - blackpudding (Николай Петров);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;
Завтра - Телефон Доверия (Роберт Астаповский);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;
Ты не ангел мой (rock version) - Vitaly Sazonov (Виталий Сазонов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4; 