На дороге иной - Сол на Марсе (SoM) (Cол Иодим);3,8;;;
Плюшевые поэты - Отряд Котовскага (Константин Бондаренко);2,5;;;
Devil made me do it - sky ivi music (Ивита Полонская);2,4;;;
На дорогах лесных - Ze Game (Ze Gamer);2,2;;;
Палач (демо версия) - Павел Желибо (Павел Желибо);1,9;;;
" ""Сколько лет — сколько зим…"" - MetaZvuk (Neldy Music)";1,9;;;
Цвет ночи - NadinKa (Надежда Капустина);1,8;;;
Notice.me - Kazladur (Kazladur Brink);1,6;;;
Лети - Руденко Т.В. + Рифф (Татьяна Руденко);1,6;;;
Echoes in the Hollow - Kate's world (seductivepiano669) (Екатерина Евстратова);1,5;;;
После жизни - Даркарт (Илья Дорожкин);1,5;;;
Мы-снова чемпионы (версия 2.0) - DJ NEOPHRON feat BAD SONGS PROJECT (Dj Neophron);1,4;;;
Птицы в небе - Алмавем (Алексей Алмавем);1,4;;;
 Сашка-гармонист - ЛОВiNicE (Оксана Лащилина);1,3;;;
Hushwires - Rheanomalia (Sashka Rheanomalia);1,2;;;
Это Финал - SerGGGG ft. Мышь Band (Сережа Грякалов);1,2;;;
Serpent's Gift - Soulles Machine (Евгений Александрович);1,1;;;
"Алиса, посоветуй! - 
Neferet & PASE feat. SunoAI (Анна Чулкова)";1,1;;;
Сделай это со мной - hito (Hito Shniperson);1,1;;;
Чужое Солнце (2025) - Turbin (Алексей Леонтьев);1,1;;;
Enough - FearTheChipper (Максим Яшин);1;;;
Ураган - Ол`ka (Ольга Гавришина);1;;;
Свет дозволенных Рифм - Scary_Man (Артур Колесник);0,9;;;
Эмодзи - Sona (Михаил Дмитриев);0,9;;;
Distortion of Memory - Cycle of Desire (Яан Лодди);0,8;;;
Вампир - Lisaviel (Юлия Журженко);0,8;;;
Гречка - наше всё - PoulSoul (Павел Гупало);0,8;;;
Дебил, но любил - N-Morson (Бред Питт);0,8;;;
Это вирус - ИNVGEN (Ai Sound Architect Digital Composer);0,8;;;
Нарисованный мальчишка - Posternak (Николай Постернак);0,7;;;
Возможно - Сергей Чайка (Sergey Chayka);0,7;;;
Качает вагон - SK-AI projecT (Skart Ai Project);0,7;;;
Неоновые Сны - ТехноСфера Вечности (Кирилл Генкин);0,7;;;
Тут у моря - Михаил Зиновьев (Михаил Зиновьев);0,7;;;
Чезабретта - Наташка Дьякова & SAI (Наталья Дьякова);0,7;;;
Индия - Дмитрий Люсков и Suno v 4.5 (Дмитрий Люсков);0,6;;;
Сердце моё в огне - iRicha (Ирина Воскобойникова);0,6;;;
Солнце скрылось - Sulimov project (Александр Сулимов);0,6;;;
Toronto Fader - НейроДрейк (Iva Muzhskoi);0,5;;;
Актриса спускается в партер - AI Илья Недобитый (Константин Леонов-Шуанский);0,5;;;
В темноте - ZHUCHOK (Амалия Жучок);0,5;;;
Разговор с собой (feat. SUNO) - StonedMilkBye (Андрей Воронин);0,5;;;
Echo - Папа Сэм (Папа Сэм);0,4;;;
Hold me tight (kpop) - Mane x Luna (Дима Cавченко);0,4;;;
Инклюз - ОПМ (Юн-Софус Кумле);0,4;;;
Лонгин Сотник - Сова Сумрачная AI (Сова Сумрачная);0,4;;;
Румба Шредингера - Celsa (Yulisse Cobre);0,4;;;
Слёзы сбереги - MartyMacflay (Marty Macflay);0,4;;;
Ты не ангел мой (rock version) - Vitaly Sazonov (Виталий Сазонов);0,4;;;
Упала ночь на землю - Granny dances (+Suno AI) (Granny Dances);0,4;;;
Упс! - Dj Zem (Станислав Земсков);0,4;;;
Бабки любят бабки - Satir-X (Славомир feat. Мирослава) (Дмитрий Выхин);0,3;;;
Гром неба - Коловрат (Коловрат Коло);0,3;;;
Если ты уйдешь - Елена Слободчикова (Елена Слободчикова);0,3;;;
Relic - Lbz (Андрей Лабазов);0,3;;;
Жара - Владимир Морозов (Владимир Морозов);0,3;;;
Интернет - НейроДюха (Андрей Салов);0,3;;;
Транс Вальс - blackpudding (Николай Петров);0,3;;;
40 лет - Ai Kine$hma (Денис Смирнов);0,2;;;
Азовское море зовёт - awaxino (Сергей Миньков);0,2;;;
Если бы - Tvoy toy (Евгений Абрамов);0,2;;;
Завтра - Телефон Доверия (Роберт Астаповский);0,2;;;
Иди - The NeuroSong (Руслан Назарович);0,2;;;
Миры Хэмингуэя - N-Morson, В.Востриков (Валерий Востриков);0,2;;;
ЭХ, МАРС, ТВОЮ МАТЬ! - Арон Авесин & SUNO AI (Арон Авесин);0,2;;;
be-the-light - Sky Vashuk (Sky Vashuk);0,1;;;
I Won’t Say Goodbye - Yury Petukhov (Юрий Петухов);0,1;;;
День Х - b'n'd (Константин Бондаренко);0,1;;;
Июньский день - Gor Nagat (Михаил Жаров);0,1;;;